cr,fa,hit,miss
49,1,49,1
46,4,39,11
43,7,45,5
49,1,50,0
43,7,48,2
36,14,35,15
37,13,47,3
33,17,41,9
50,0,48,2
42,8,40,10
31,19,43,7
29,21,27,23
50,0,49,1
48,2,46,4
37,13,22,28
40,10,41,9
49,1,50,0
42,8,47,3
33,17,39,11
36,14,37,13
49,1,47,3
50,0,50,0
35,15,45,5
50,0,49,1
33,17,44,6
37,13,30,20
49,1,50,0
42,8,44,6
50,0,50,0
45,5,50,0
38,12,39,11
42,8,43,7
35,15,40,10
47,3,48,2
42,8,49,1
20,30,36,14
49,1,46,4
43,7,42,8
45,5,48,2
50,0,49,1
29,21,39,11
40,10,15,35
49,1,46,4
48,2,36,14
28,22,18,32
32,18,23,27
50,0,45,5
25,25,42,8
24,26,33,17
22,28,30,20
