high_cr,high_fa,high_hit,high_miss,low_cr,low_fa,low_hit,low_miss
47,3,47,3,33,17,27,23
43,7,47,3,37,13,31,19
38,12,40,10,36,14,39,11
31,19,34,16,40,10,38,12
47,3,44,6,39,11,41,9
46,4,45,5,44,6,31,19
40,10,36,14,36,14,31,19
36,14,37,13,41,9,37,13
40,10,42,8,34,16,38,12
45,5,41,9,41,9,36,14
38,12,34,16,32,18,43,7
35,15,37,13,35,15,37,13
49,1,46,4,38,12,34,16
48,2,44,6,40,10,34,16
38,12,44,6,37,13,32,18
48,2,43,7,42,8,40,10
40,10,38,12,40,10,44,6
42,8,38,12,38,12,38,12
43,7,41,9,37,13,21,29
40,10,29,21,42,8,43,7
38,12,40,10,37,13,31,19
41,9,46,4,31,19,27,23
45,5,39,11,47,3,37,13
42,8,45,5,32,18,39,11
46,4,48,2,41,9,32,18
48,2,46,4,37,13,34,16
45,5,43,7,35,15,35,15
50,0,49,1,37,13,34,16
45,5,39,11,40,10,30,20
35,15,41,9,37,13,39,11
46,4,34,16,37,13,25,25
48,2,47,3,41,9,27,23
36,14,31,19,38,12,32,18
46,4,44,6,36,14,28,22
43,7,44,6,36,14,35,15
41,9,46,4,42,8,38,12
39,11,38,12,34,16,35,15
46,4,48,2,31,19,32,18
42,8,41,9,34,16,29,21
50,0,49,1,36,14,35,15
31,19,36,14,36,14,34,16
41,9,40,10,27,23,30,20
49,1,49,1,37,13,32,18
50,0,49,1,35,15,35,15
49,1,44,6,29,21,35,15
44,6,45,5,37,13,34,16
44,6,43,7,39,11,32,18
40,10,36,14,31,19,34,16
44,6,39,11,43,7,24,26
43,7,42,8,39,11,35,15
