EE,EU,EN,UE,UU,UN,NE,NU,NN
3,5,8,1,8,7,4,6,22
7,5,4,8,7,1,11,14,7
5,6,5,0,11,5,1,7,24
10,1,5,5,5,6,12,4,16
10,1,5,3,7,6,6,4,22
6,3,7,2,5,9,4,10,18
6,0,10,4,2,10,3,1,28
6,1,9,3,3,10,4,1,27
11,3,2,9,4,3,18,4,10
8,2,6,3,3,10,5,6,21
5,5,6,4,4,8,7,6,19
10,1,5,6,5,5,14,3,15
6,4,6,1,5,10,5,0,27
9,0,7,3,4,9,4,1,27
6,4,6,8,1,7,14,1,17
6,3,7,2,6,8,3,5,24
6,1,9,3,2,11,4,1,27
5,4,7,3,7,6,3,5,24
3,6,7,0,8,8,2,5,25
10,0,6,4,2,10,3,1,28
6,4,6,2,4,10,5,4,23
9,3,4,9,6,1,9,4,19
3,4,9,4,6,6,2,6,24
12,1,3,3,9,4,11,5,16
12,1,3,10,2,4,4,0,28
8,3,5,3,3,10,9,2,21
9,1,6,10,2,4,20,2,10
5,7,4,1,11,4,5,10,17
4,6,6,5,10,1,8,8,16
11,4,1,6,4,6,7,3,22
8,2,6,5,3,8,4,1,27
13,0,3,13,0,3,9,0,23
10,1,5,13,0,3,7,1,24
12,0,4,13,0,3,12,1,19
6,5,5,2,9,5,1,4,27
6,4,6,7,4,5,2,5,25
15,0,1,11,0,5,10,0,22
12,0,4,13,0,3,18,1,13
7,1,8,5,4,7,5,3,24
15,0,1,11,3,2,11,1,20
9,2,5,3,8,5,2,3,27
9,2,5,10,2,4,20,4,8
8,1,7,3,5,8,6,4,22
3,0,13,6,0,10,7,0,25
10,3,3,0,12,4,4,11,17
8,0,8,9,0,7,8,0,24
9,1,6,11,1,4,14,3,15
9,0,7,10,0,6,13,0,19
