cr,fa,hit,miss
40,10,35,15
49,1,47,3
48,2,47,3
47,3,50,0
35,15,22,28
26,24,37,13
49,1,50,0
42,8,27,23
49,1,50,0
48,2,46,4
44,6,45,5
50,0,50,0
26,24,25,25
41,9,40,10
40,10,39,11
43,7,50,0
34,16,27,23
36,14,40,10
32,18,40,10
44,6,39,11
30,20,42,8
48,2,44,6
49,1,48,2
47,3,50,0
43,7,49,1
45,5,42,8
28,22,39,11
47,3,47,3
37,13,42,8
44,6,39,11
41,9,42,8
47,3,46,4
39,11,41,9
30,20,33,17
45,5,33,17
48,2,45,5
38,12,34,16
40,10,42,8
33,17,35,15
49,1,50,0
28,22,35,15
50,0,46,4
48,2,46,4
32,18,31,19
43,7,39,11
28,22,36,14
39,11,42,8
44,6,48,2
31,19,35,15
29,21,24,26
