cr,fa,hit,miss
43,7,15,35
50,0,50,0
32,18,29,21
40,10,44,6
44,6,42,8
46,4,32,18
23,27,33,17
50,0,47,3
27,23,27,23
38,12,39,11
18,32,32,18
45,5,28,22
31,19,44,6
48,2,49,1
41,9,18,32
39,11,24,26
45,5,37,13
47,3,44,6
48,2,46,4
43,7,41,9
41,9,41,9
44,6,48,2
38,12,47,3
34,16,28,22
41,9,39,11
49,1,49,1
46,4,45,5
23,27,35,15
40,10,41,9
48,2,49,1
46,4,47,3
47,3,41,9
22,28,44,6
43,7,46,4
30,20,40,10
50,0,50,0
49,1,45,5
35,15,40,10
49,1,49,1
38,12,39,11
33,17,39,11
45,5,41,9
32,18,32,18
50,0,43,7
31,19,36,14
31,19,38,12
49,1,46,4
48,2,50,0
38,12,37,13
47,3,40,10
