cr,fa,hit,miss
43,7,46,4
27,23,34,16
36,14,37,13
42,8,48,2
46,4,16,34
50,0,49,1
32,18,39,11
18,32,38,12
38,12,22,28
37,13,34,16
31,19,27,23
45,5,50,0
31,19,38,12
26,24,31,19
38,12,35,15
37,13,36,14
44,6,19,31
36,14,20,30
43,7,42,8
23,27,41,9
48,2,49,1
40,10,43,7
38,12,27,23
45,5,43,7
25,25,40,10
39,11,38,12
44,6,47,3
47,3,43,7
42,8,23,27
40,10,49,1
22,28,30,20
44,6,30,20
41,9,35,15
40,10,30,20
30,20,31,19
43,7,35,15
35,15,27,23
37,13,30,20
34,16,33,17
29,21,20,30
49,1,48,2
33,17,43,7
28,22,34,16
41,9,32,18
48,2,34,16
39,11,43,7
14,36,37,13
37,13,30,20
47,3,50,0
50,0,41,9
