high_cr,high_fa,high_hit,high_miss,low_cr,low_fa,low_hit,low_miss
33,17,33,17,40,10,33,17
44,6,41,9,37,13,34,16
50,0,50,0,40,10,41,9
48,2,48,2,35,15,35,15
45,5,44,6,38,12,34,16
35,15,32,18,35,15,37,13
41,9,39,11,35,15,31,19
39,11,37,13,38,12,36,14
37,13,41,9,40,10,38,12
36,14,22,28,33,17,34,16
37,13,33,17,36,14,37,13
46,4,43,7,34,16,35,15
47,3,49,1,36,14,33,17
42,8,46,4,37,13,32,18
43,7,43,7,37,13,40,10
46,4,43,7,39,11,34,16
46,4,41,9,39,11,30,20
39,11,38,12,38,12,30,20
46,4,42,8,36,14,38,12
39,11,26,24,42,8,21,29
37,13,31,19,39,11,35,15
42,8,45,5,26,24,34,16
49,1,45,5,35,15,39,11
40,10,43,7,34,16,30,20
40,10,32,18,37,13,32,18
42,8,40,10,39,11,37,13
40,10,37,13,42,8,34,16
41,9,39,11,32,18,25,25
46,4,48,2,43,7,32,18
34,16,46,4,36,14,40,10
45,5,46,4,30,20,32,18
44,6,43,7,43,7,38,12
43,7,45,5,34,16,35,15
26,24,37,13,25,25,28,22
44,6,42,8,42,8,35,15
42,8,45,5,42,8,30,20
43,7,31,19,41,9,41,9
33,17,37,13,37,13,39,11
44,6,42,8,36,14,24,26
48,2,46,4,32,18,32,18
48,2,47,3,34,16,36,14
41,9,44,6,34,16,38,12
41,9,45,5,31,19,32,18
37,13,40,10,35,15,33,17
46,4,45,5,34,16,26,24
46,4,47,3,29,21,31,19
41,9,46,4,31,19,29,21
45,5,42,8,31,19,30,20
42,8,34,16,39,11,39,11
45,5,41,9,30,20,34,16
