cr,fa,hit,miss
44,6,48,2
49,1,49,1
40,10,39,11
44,6,42,8
48,2,30,20
38,12,41,9
45,5,34,16
26,24,36,14
37,13,35,15
44,6,44,6
36,14,36,14
48,2,46,4
48,2,37,13
46,4,46,4
28,22,40,10
46,4,43,7
28,22,41,9
47,3,46,4
50,0,40,10
28,22,46,4
48,2,48,2
40,10,30,20
43,7,38,12
28,22,37,13
33,17,45,5
45,5,47,3
38,12,40,10
50,0,49,1
32,18,38,12
40,10,47,3
48,2,50,0
28,22,43,7
13,37,43,7
43,7,47,3
47,3,45,5
34,16,23,27
43,7,12,38
33,17,30,20
49,1,49,1
47,3,15,35
48,2,48,2
15,35,38,12
18,32,42,8
49,1,49,1
49,1,49,1
30,20,41,9
40,10,39,11
50,0,50,0
38,12,44,6
47,3,42,8
