cr,fa,hit,miss
41,9,38,12
45,5,29,21
34,16,35,15
40,10,33,17
28,22,32,18
49,1,47,3
34,16,26,24
35,15,17,33
32,18,47,3
17,33,42,8
50,0,47,3
42,8,39,11
45,5,50,0
43,7,20,30
31,19,40,10
31,19,32,18
30,20,17,33
49,1,50,0
38,12,31,19
39,11,25,25
22,28,34,16
43,7,29,21
30,20,36,14
32,18,20,30
50,0,34,16
49,1,43,7
32,18,38,12
36,14,35,15
39,11,38,12
43,7,44,6
30,20,28,22
42,8,26,24
28,22,31,19
28,22,29,21
21,29,43,7
27,23,25,25
20,30,38,12
50,0,50,0
30,20,38,12
23,27,36,14
26,24,25,25
42,8,34,16
32,18,39,11
18,32,38,12
45,5,48,2
45,5,48,2
43,7,49,1
31,19,30,20
37,13,16,34
47,3,43,7
