cr,fa,hit,miss
38,12,19,31
48,2,21,29
50,0,47,3
41,9,48,2
44,6,41,9
31,19,34,16
49,1,49,1
50,0,50,0
41,9,47,3
46,4,49,1
45,5,50,0
38,12,39,11
48,2,45,5
41,9,36,14
22,28,46,4
50,0,50,0
45,5,36,14
35,15,33,17
35,15,44,6
27,23,40,10
46,4,50,0
25,25,32,18
46,4,46,4
49,1,50,0
20,30,39,11
43,7,43,7
46,4,47,3
37,13,31,19
20,30,33,17
44,6,27,23
41,9,41,9
48,2,40,10
50,0,50,0
42,8,43,7
33,17,18,32
39,11,43,7
41,9,41,9
45,5,17,33
44,6,42,8
31,19,19,31
46,4,43,7
40,10,27,23
44,6,42,8
32,18,39,11
35,15,47,3
49,1,48,2
44,6,35,15
41,9,45,5
42,8,41,9
31,19,34,16
