cr,fa,hit,miss
9,41,31,19
28,22,25,25
30,20,36,14
26,24,31,19
28,22,29,21
43,7,35,15
40,10,47,3
36,14,27,23
42,8,40,10
36,14,25,25
47,3,50,0
42,8,26,24
31,19,42,8
28,22,44,6
47,3,28,22
39,11,35,15
32,18,28,22
24,26,35,15
38,12,3,47
25,25,29,21
31,19,49,1
39,11,41,9
32,18,31,19
21,29,31,19
47,3,31,19
24,26,46,4
47,3,37,13
47,3,36,14
41,9,39,11
29,21,37,13
42,8,38,12
14,36,35,15
26,24,42,8
49,1,39,11
40,10,29,21
44,6,18,32
47,3,41,9
27,23,28,22
34,16,42,8
41,9,36,14
30,20,34,16
49,1,50,0
42,8,15,35
22,28,32,18
36,14,39,11
44,6,25,25
33,17,38,12
31,19,35,15
30,20,35,15
41,9,46,4
