"EE","EU","EN","UE","UU","UN","NE","NU","NN"
3,5,8,1,8,7,4,6,22
7,5,4,8,7,1,11,14,7
5,6,5,0,11,5,1,7,24
10,1,5,5,5,6,12,4,16
10,1,5,3,7,6,6,4,22
6,3,7,2,5,9,4,10,18
6,0,10,4,2,10,3,1,28
6,1,9,3,3,10,4,1,27
11,3,2,9,4,3,18,4,10
8,2,6,3,3,10,5,6,21
5,5,6,4,4,8,7,6,19
10,1,5,6,5,5,14,3,15
6,4,6,1,5,10,5,0,27
9,0,7,3,4,9,4,1,27
6,4,6,8,1,7,14,1,17
6,3,7,2,6,8,3,5,24
6,1,9,3,2,11,4,1,27
5,4,7,3,7,6,3,5,24
3,6,7,0,8,8,2,5,25
10,0,6,4,2,10,3,1,28
6,4,6,2,4,10,5,4,23
9,3,4,9,6,1,9,4,19
3,4,9,4,6,6,2,6,24
12,1,3,3,9,4,11,5,16
